"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.208974339E0,-1.532289088E-1,2.585737705E-1,9.270348549E0,9.275219766E0
1.218716892E0,-5.267243832E-2,1.963245422E-1,9.351752281E0,9.353961110E0
1.228701268E0,-6.224924326E-2,2.442085743E-1,9.433155060E0,9.436520926E0
1.238581269E0,5.267243832E-2,2.154781520E-1,9.696516991E0,9.699053921E0
1.248586061E0,6.224924326E-2,2.729389966E-1,9.964667320E0,9.968598972E0
1.258328302E0,5.267243832E-2,1.675941199E-1,1.012268448E1,1.012420877E1
1.268061845E0,-8.619125932E-2,7.661445439E-2,1.010831928E1,1.010897707E1
1.278058408E0,-1.915361285E-1,5.267243832E-2,9.830592155E0,9.832598975E0
1.287808357E0,-2.633621991E-1,1.340752989E-1,9.562441826E0,9.567007343E0
1.297797004E0,-3.591302633E-1,1.628057212E-1,9.356540680E0,9.364845634E0
1.307669869E0,-3.160346150E-1,1.580173075E-1,9.452308655E0,9.458910416E0
1.317551433E0,-2.489969730E-1,2.059013397E-1,9.519346237E0,9.524827958E0
1.327416903E0,-2.681505978E-1,2.059013397E-1,9.749189377E0,9.755049647E0
1.337228987E0,-1.101332754E-1,2.968810201E-1,9.806650162E0,9.811761059E0
1.347054405E0,4.788403213E-2,3.256114423E-1,1.042435455E1,1.042954858E1
1.356896333E0,1.053448766E-1,3.495534360E-1,1.039562416E1,1.040203282E1
1.366889198E0,4.788403213E-2,4.548983276E-1,9.979032516E0,9.989510265E0
1.376762168E0,-3.351882473E-2,9.145850539E-1,9.567230225E0,9.610904406E0
1.386649513E0,-1.101332754E-1,1.460463047E0,8.015787125E0,8.148492184E0
1.396502639E0,-2.394201756E-1,1.259350061E0,5.635950565E0,5.779898215E0
1.406314202E0,-1.886630893E0,5.841852427E-1,2.829946518E0,3.450977516E0
1.416221495E0,-1.211466074E0,-2.011129409E-1,8.140285611E-1,1.473342785E0
1.426117798E0,4.788403399E-3,-1.580173075E-1,-1.915361360E-2,1.592459079E-1
1.435860924E0,5.267243832E-2,-1.915361285E-1,-1.149216816E-1,2.294939371E-1
1.445876289E0,3.830722719E-2,-2.059013397E-1,-7.182604820E-2,2.214086415E-1
1.455586499E0,4.309562966E-2,-1.484405100E-1,-9.097966552E-2,1.793575141E-1
1.465568948E0,2.873042040E-2,-1.915361285E-1,-6.224924326E-2,2.034367073E-1
1.475448845E0,3.830722719E-2,-2.059013397E-1,-4.309562966E-2,2.138224465E-1
1.485197856E0,9.576806799E-3,-1.771709323E-1,-9.097966552E-2,1.993954714E-1
1.495163430E0,1.436521020E-2,-1.867477298E-1,2.394201607E-2,1.888234466E-1
1.505070775E0,1.436521020E-2,-1.723825186E-1,0.000000000E0,1.729800335E-1
1.514811244E0,5.746084079E-2,-1.484405100E-1,4.788403399E-3,1.592459169E-1
